data-cultivo1-nombre,data-cultivo1-trabajo_comunal,data-cultivo1-obtuvo_producto,data-cultivo1-factores_no_cosecha-se_debio,data-cultivo1-factores_no_cosecha-otro_factor,data-cultivo1-factores_no_cosecha-factores_ambientales,data-cultivo1-factores_no_cosecha-otro_factor_ambiental,data-cultivo1-factores_no_cosecha-factores_manejo,data-cultivo1-factores_no_cosecha-otro_factor_manejo,data-cultivo1-fecha_cosecha-inicio,data-cultivo1-fecha_cosecha-termino,data-cultivo1-momento_cosecha,data-cultivo1-especifique_momento_cosecha,data-cultivo1-foto_cosecha,PARENT_KEY,KEY
Papa,cosecha,si, , , , , , ,05/07/21,06/07/21,madurez_comercial, , ,uuid:3509edb7-f168-4708-8701-b5ab81a193c5,uuid:3509edb7-f168-4708-8701-b5ab81a193c5/cultivo1[1]
Papa,cosecha,si, , , , , , ,20/07/21,22/07/21,madurez_comercial, , ,uuid:e4399e6f-9c1d-42cc-be66-1d90ee84e6fd,uuid:e4399e6f-9c1d-42cc-be66-1d90ee84e6fd/cultivo1[1]
Papa,cosecha,si, , , , , , ,14/07/21,17/07/21,madurez_fisiologica, , ,uuid:c1a3ae04-16a2-4182-b3b2-e631e289ad79,uuid:c1a3ae04-16a2-4182-b3b2-e631e289ad79/cultivo1[1]
Papa,cosecha,si, , , , , , ,10/07/21,15/07/21,madurez_fisiologica, , ,uuid:f7629c77-fa12-4873-926d-d034538b7e7a,uuid:f7629c77-fa12-4873-926d-d034538b7e7a/cultivo1[1]
Papa,cosecha,si, , , , , , ,15/05/21,18/05/21,madurez_comercial, , ,uuid:cffccce9-c917-43cc-b2ff-204ca5ddade5,uuid:cffccce9-c917-43cc-b2ff-204ca5ddade5/cultivo1[1]
Papa,cosecha,si, , , , , , ,01/06/21,15/06/21,madurez_comercial, , ,uuid:1d0b9d1e-8861-4e52-ba12-66870a036c74,uuid:1d0b9d1e-8861-4e52-ba12-66870a036c74/cultivo1[1]
Papa,cosecha,si, , , , , , ,10/07/21,15/07/21,madurez_fisiologica, , ,uuid:49e8e683-2c6d-46d9-948d-6ba53944d9d1,uuid:49e8e683-2c6d-46d9-948d-6ba53944d9d1/cultivo1[1]
Papa,cosecha,si, , , , , , ,20/06/21,23/06/21,madurez_comercial, , ,uuid:a290421f-27ad-4a1a-9d7e-1219aea1a24a,uuid:a290421f-27ad-4a1a-9d7e-1219aea1a24a/cultivo1[1]
Papa,cosecha,si, , , , , , ,10/06/21,13/06/21,madurez_fisiologica, , ,uuid:ad1d515f-ad85-4b75-afe7-581ee1f56ea9,uuid:ad1d515f-ad85-4b75-afe7-581ee1f56ea9/cultivo1[1]
Papa,cosecha,si, , , , , , ,27/06/21,04/07/21,madurez_fisiologica, , ,uuid:59ae56c7-3ac7-4b58-b0ae-ded72124bb3d,uuid:59ae56c7-3ac7-4b58-b0ae-ded72124bb3d/cultivo1[1]
Papa,cosecha,si, , , , , , ,30/07/21,01/08/21,madurez_fisiologica, ,https://drive.google.com/open?id=1YBWe7ZiBvCXdzlPW9GEEC4gIrWKqnemX,uuid:65b006e0-fcda-4ece-990e-988808900752,uuid:65b006e0-fcda-4ece-990e-988808900752/cultivo1[1]
Papa,cosecha,si, , , , , , ,12/08/21,13/08/21,madurez_fisiologica, , ,uuid:e1e7d254-1d28-499c-8853-297e0946b9ce,uuid:e1e7d254-1d28-499c-8853-297e0946b9ce/cultivo1[1]
Papa,cosecha,si, , , , , , ,02/08/21,07/08/21,madurez_fisiologica, , ,uuid:cda68168-8c03-4d8d-a87a-329866ec0fce,uuid:cda68168-8c03-4d8d-a87a-329866ec0fce/cultivo1[1]
Papa,cosecha,si, , , , , , ,10/08/21,12/08/21,madurez_fisiologica, , ,uuid:985fd96a-3967-4e8f-ac91-33bee89a51d0,uuid:985fd96a-3967-4e8f-ac91-33bee89a51d0/cultivo1[1]
Papa,cosecha,si, , , , , , ,02/08/21,04/08/21,madurez_fisiologica, , ,uuid:930f7f4f-af6b-44ba-902b-50d8e15aaf42,uuid:930f7f4f-af6b-44ba-902b-50d8e15aaf42/cultivo1[1]
Papa,cosecha,si, , , , , , ,20/07/21,22/07/21,madurez_fisiologica, , ,uuid:bf55f966-9efe-4ec0-b804-bb330c9459b9,uuid:bf55f966-9efe-4ec0-b804-bb330c9459b9/cultivo1[1]
Papa,cosecha,si, , , , , , ,14/07/21,16/07/21,madurez_fisiologica, , ,uuid:2b134406-615b-42b4-bda8-5e0c79a9d22f,uuid:2b134406-615b-42b4-bda8-5e0c79a9d22f/cultivo1[1]
Papa,siembra,si, , , , , , ,14/08/21,16/08/21,madurez_fisiologica, ,https://drive.google.com/open?id=1QZJUmHcEim0M_NOS7lHSGsan6frDGAN3,uuid:a0ec4f05-0a39-473f-b5f3-ea48eb3c7293,uuid:a0ec4f05-0a39-473f-b5f3-ea48eb3c7293/cultivo1[1]
Papa,cosecha,si, , , , , , ,01/08/21,08/08/21,madurez_fisiologica, , ,uuid:7d8fcd07-ab3b-40e0-b828-8ad5b01cb4ad,uuid:7d8fcd07-ab3b-40e0-b828-8ad5b01cb4ad/cultivo1[1]
Papa,cosecha,si, , , , , , ,14/05/21,20/05/21,madurez_comercial, , ,uuid:03e07f68-c999-4472-8bae-58654724b0b7,uuid:03e07f68-c999-4472-8bae-58654724b0b7/cultivo1[1]
