data-cosecha_manual-actividad1-informacion_m-cultivo,data-cosecha_manual-actividad1-informacion_m-realizo_actividad,data-cosecha_manual-actividad1-informacion_m-fecha,data-cosecha_manual-actividad1-realizada,data-cosecha_manual-actividad1-otra_actividad,data-cosecha_manual-actividad1-utilizo_implemento,data-cosecha_manual-actividad1-mas_de_un_implemento-numero_implementos,data-cosecha_manual-actividad1-mas_de_un_implemento-implemento_utilizado,data-cosecha_manual-actividad1-jornal-numero_personas_participaron,data-cosecha_manual-actividad1-jornal-costo_dia,data-cosecha_manual-actividad1-jornal-jornadas_utilizadas,data-cosecha_manual-actividad1-jornal-duracion,data-cosecha_manual-actividad1-jornal-tipo_costo,data-cosecha_manual-actividad1-descripcion1,PARENT_KEY,KEY
Papa, ,22/06/21,cosecha, ,si,1,otro,5,30,5,8,estimado,Lampilla,uuid:3898e5c7-e29e-4179-aeca-5fd157b79dea,uuid:3898e5c7-e29e-4179-aeca-5fd157b79dea/actividad1[1]
Papa,si,28/06/21,acarreo, ,no, , ,4,30,1,8,estimado,Sin nivedades,uuid:3898e5c7-e29e-4179-aeca-5fd157b79dea,uuid:3898e5c7-e29e-4179-aeca-5fd157b79dea/actividad1[2]
Papa,si,21/05/21,corte, ,si,1,hoz,2,30,2,8,estimado,Corte de tallo,uuid:323a4290-6e7b-43cd-9fb1-5bb843896d6e,uuid:323a4290-6e7b-43cd-9fb1-5bb843896d6e/actividad1[1]
Papa,si,21/06/21,cosecha, ,si,1,otro,7,30,2,8,estimado,Sin novedad,uuid:323a4290-6e7b-43cd-9fb1-5bb843896d6e,uuid:323a4290-6e7b-43cd-9fb1-5bb843896d6e/actividad1[2]
Papa,no,23/06/21,acarreo, ,no, , ,4,20,4,4,estimado,Sin novedad,uuid:323a4290-6e7b-43cd-9fb1-5bb843896d6e,uuid:323a4290-6e7b-43cd-9fb1-5bb843896d6e/actividad1[3]
Papa,si,25/06/21,cosecha, ,si,1,otro,4,30,8,8,estimado,Sin novedad,uuid:36c1e69a-f0a5-4905-9d3b-a193717cd632,uuid:36c1e69a-f0a5-4905-9d3b-a193717cd632/actividad1[1]
Papa,si,26/06/21,acarreo, ,no, , ,4,10,4,2,estimado,Se paga el traslado 1 sol por saco,uuid:36c1e69a-f0a5-4905-9d3b-a193717cd632,uuid:36c1e69a-f0a5-4905-9d3b-a193717cd632/actividad1[2]
Papa,si,15/06/21,cosecha, ,si,1,otro,5,30,3,8,estimado,No se avanzó por ser papas pequeñas,uuid:120d969a-6927-43dc-9137-44edffc3cd9e,uuid:120d969a-6927-43dc-9137-44edffc3cd9e/actividad1[1]
Papa,si,20/06/21,acarreo, ,no, , ,2,30,2,5,estimado,Se utilizó  camioneta para el acarreo,uuid:120d969a-6927-43dc-9137-44edffc3cd9e,uuid:120d969a-6927-43dc-9137-44edffc3cd9e/actividad1[2]
Papa,si,28/06/21,cosecha, ,si,1,otro,2,30,6,8,estimado,Sin novedad,uuid:016ba68d-cf41-4c37-aca3-952351ff3aeb,uuid:016ba68d-cf41-4c37-aca3-952351ff3aeb/actividad1[1]
Papa,si,30/06/21,acarreo, ,no, , ,2,30,2,5,estimado,El acarreo lo realiza al hombro,uuid:016ba68d-cf41-4c37-aca3-952351ff3aeb,uuid:016ba68d-cf41-4c37-aca3-952351ff3aeb/actividad1[2]
Papa,si,21/06/21,cosecha, ,si,1,otro,4,30,3,6,estimado,Sin novedad,uuid:089fcf22-2892-4953-84bd-8226c037c1e9,uuid:089fcf22-2892-4953-84bd-8226c037c1e9/actividad1[1]
Papa,si,26/06/21,acarreo, ,no, , ,3,30,3,6,estimado,También se empleó movilidad,uuid:089fcf22-2892-4953-84bd-8226c037c1e9,uuid:089fcf22-2892-4953-84bd-8226c037c1e9/actividad1[2]
Papa,si,28/06/21,cosecha, ,si,1,otro,6,30,2,8,estimado,La cosecha lo realizan de acuerdo como van consumiendo los animales,uuid:e2cee274-e325-45e1-b7b7-89ef107cac11,uuid:e2cee274-e325-45e1-b7b7-89ef107cac11/actividad1[1]
Papa,si,28/06/21,acarreo, ,no, , ,3,30,3,5,estimado,Se paga 1.5 soles por saco para cargar a la movilidad,uuid:e2cee274-e325-45e1-b7b7-89ef107cac11,uuid:e2cee274-e325-45e1-b7b7-89ef107cac11/actividad1[2]
Papa,si,10/06/21,cosecha, ,si,1,otro,16,30,2,8,estimado,Sin novedad,uuid:cf70b570-e01b-46b5-8422-d336c776807b,uuid:cf70b570-e01b-46b5-8422-d336c776807b/actividad1[1]
Papa,si,11/06/21,acarreo, ,no, , ,3,30,3,4,estimado,Se realizó con la ayuda de movilidad,uuid:cf70b570-e01b-46b5-8422-d336c776807b,uuid:cf70b570-e01b-46b5-8422-d336c776807b/actividad1[2]
Papa,si,24/06/21,cosecha, ,si,1,otro,8,30,4,8,estimado,Sin novedad,uuid:0bba722a-3bbb-4dff-ae8c-aa67cf43c20c,uuid:0bba722a-3bbb-4dff-ae8c-aa67cf43c20c/actividad1[1]
Papa,si,26/06/21,acarreo, ,no, , ,3,30,3,6,estimado,Se realizo con ayuda de vestias,uuid:0bba722a-3bbb-4dff-ae8c-aa67cf43c20c,uuid:0bba722a-3bbb-4dff-ae8c-aa67cf43c20c/actividad1[2]
Papa,si,22/06/21,cosecha, ,si,1,otro,4,30,2,8,estimado, ,uuid:fe46130f-9195-4def-a9b5-ccc6957a159f,uuid:fe46130f-9195-4def-a9b5-ccc6957a159f/actividad1[1]
Papa,si,26/06/21,acarreo, ,no, , ,2,30,2,8,estimado,Utilizaron vestias,uuid:fe46130f-9195-4def-a9b5-ccc6957a159f,uuid:fe46130f-9195-4def-a9b5-ccc6957a159f/actividad1[2]
Papa,si,02/06/21,cosecha, ,si,1,otro,4,30,1,8,estimado, ,uuid:a31e215f-2212-4270-8ac8-fa22184fb8a0,uuid:a31e215f-2212-4270-8ac8-fa22184fb8a0/actividad1[1]
Papa,si,05/06/21,acarreo, ,no, , ,3,30,3,8,estimado,Hicieron uso de vestias,uuid:a31e215f-2212-4270-8ac8-fa22184fb8a0,uuid:a31e215f-2212-4270-8ac8-fa22184fb8a0/actividad1[2]
Papa,si,08/06/21,cosecha, ,si,1,otro,5,30,30,8,estimado, ,uuid:3b3fea83-1025-4125-80a3-5ef5a6f3f597,uuid:3b3fea83-1025-4125-80a3-5ef5a6f3f597/actividad1[1]
Papa,si,12/06/21,acarreo, ,no, , ,3,30,3,16,estimado,Utilizaron vestias,uuid:3b3fea83-1025-4125-80a3-5ef5a6f3f597,uuid:3b3fea83-1025-4125-80a3-5ef5a6f3f597/actividad1[2]
Papa,si,05/06/21,cosecha, ,no, , ,4,30,3,8,estimado,Se cosecha y de pago se da papas,uuid:d6a8c4da-4e51-469b-baa1-0e26338c94f0,uuid:d6a8c4da-4e51-469b-baa1-0e26338c94f0/actividad1[1]
Papa,si,24/07/21,acarreo, ,no, , ,3,30,4,0,estimado,Cosecha realizada por la familia,uuid:b937a4e1-aa66-4469-9585-4274dceead37,uuid:b937a4e1-aa66-4469-9585-4274dceead37/actividad1[1]
Papa,si,20/05/21,corte_follaje, ,si,1,hoz,1,30,3,8,estimado,Corto tallo para acelerar maduración,uuid:48fb62aa-7809-4f51-a184-4906de297935,uuid:48fb62aa-7809-4f51-a184-4906de297935/actividad1[1]
Papa,si,05/06/21,cosecha, ,si,1,otro,5,30,30,8,estimado,Sin novedad,uuid:48fb62aa-7809-4f51-a184-4906de297935,uuid:48fb62aa-7809-4f51-a184-4906de297935/actividad1[2]
Papa,si,10/06/21,acarreo, ,no, , ,2,30,4,10,estimado,Se realizo con ayuda de caballos,uuid:48fb62aa-7809-4f51-a184-4906de297935,uuid:48fb62aa-7809-4f51-a184-4906de297935/actividad1[3]
Papa,si,26/07/21,acarreo, ,no, , ,4,30,1,8,estimado,Cosecha manual por el productor,uuid:b1c27d74-ea47-4cab-8da0-3545c3a300d0,uuid:b1c27d74-ea47-4cab-8da0-3545c3a300d0/actividad1[1]
Papa,si,05/07/21,cosecha, ,si,1,otro,5,30,10,6,estimado,La cosecha estuvo con poco rendimiento,uuid:3509edb7-f168-4708-8701-b5ab81a193c5,uuid:3509edb7-f168-4708-8701-b5ab81a193c5/actividad1[1]
Papa,si,06/07/21,acarreo, ,no, , ,2,25,2,4,estimado, ,uuid:3509edb7-f168-4708-8701-b5ab81a193c5,uuid:3509edb7-f168-4708-8701-b5ab81a193c5/actividad1[2]
Papa,si,20/07/21,cosecha, ,si,1,otro,4,30,12,5,estimado, ,uuid:e4399e6f-9c1d-42cc-be66-1d90ee84e6fd,uuid:e4399e6f-9c1d-42cc-be66-1d90ee84e6fd/actividad1[1]
Papa,si,22/07/21,acarreo, ,no, , ,4,25,4,5,estimado,Se realizo al hombro,uuid:e4399e6f-9c1d-42cc-be66-1d90ee84e6fd,uuid:e4399e6f-9c1d-42cc-be66-1d90ee84e6fd/actividad1[2]
Papa,si,14/07/21,cosecha, ,si,1,otro,214,30,21,8,estimado,Se realizo la cosecha en 3 dias,uuid:c1a3ae04-16a2-4182-b3b2-e631e289ad79,uuid:c1a3ae04-16a2-4182-b3b2-e631e289ad79/actividad1[1]
Papa,si,17/07/21,acarreo, ,no, , ,4,30,4,5,estimado, ,uuid:c1a3ae04-16a2-4182-b3b2-e631e289ad79,uuid:c1a3ae04-16a2-4182-b3b2-e631e289ad79/actividad1[2]
Papa,si,10/07/21,cosecha, ,si,1,otro,15,30,15,8,estimado,Se realizo la cosecha en 5 días,uuid:f7629c77-fa12-4873-926d-d034538b7e7a,uuid:f7629c77-fa12-4873-926d-d034538b7e7a/actividad1[1]
Papa,si,15/08/21,acarreo, ,no, , ,2,25,2,6,estimado, ,uuid:f7629c77-fa12-4873-926d-d034538b7e7a,uuid:f7629c77-fa12-4873-926d-d034538b7e7a/actividad1[2]
Papa,si,15/05/21,cosecha, ,si,1,otro,12,30,12,8,estimado,Duro 4 días,uuid:cffccce9-c917-43cc-b2ff-204ca5ddade5,uuid:cffccce9-c917-43cc-b2ff-204ca5ddade5/actividad1[1]
Papa,si,18/05/21,acarreo, ,no, , ,4,25,4,6,estimado,Se realizo al hombro,uuid:cffccce9-c917-43cc-b2ff-204ca5ddade5,uuid:cffccce9-c917-43cc-b2ff-204ca5ddade5/actividad1[2]
Papa,si,01/06/21,cosecha, ,si,1,otro,30,30,30,8,estimado,Duro 15 días la cosecha,uuid:1d0b9d1e-8861-4e52-ba12-66870a036c74,uuid:1d0b9d1e-8861-4e52-ba12-66870a036c74/actividad1[1]
Papa,si,15/06/21,acarreo, ,no, , ,2,25,2,4,estimado, ,uuid:1d0b9d1e-8861-4e52-ba12-66870a036c74,uuid:1d0b9d1e-8861-4e52-ba12-66870a036c74/actividad1[2]
Papa,si,10/07/21,cosecha, ,si,1,otro,18,30,18,8,estimado,Se realizó la cosecha 6 días,uuid:49e8e683-2c6d-46d9-948d-6ba53944d9d1,uuid:49e8e683-2c6d-46d9-948d-6ba53944d9d1/actividad1[1]
Papa,si,15/07/21,acarreo, ,no, , ,4,25,4,4,estimado,Se hizo uso de caballos,uuid:49e8e683-2c6d-46d9-948d-6ba53944d9d1,uuid:49e8e683-2c6d-46d9-948d-6ba53944d9d1/actividad1[2]
